start,end,token,cleaned_token,overlap,exclude
0.0,3.387,<silence>,<silence>,False,False
3.387,3.487,り,り,False,False
3.487,3.62,る,る,False,False
3.62,3.821,び,び,False,False
3.821,3.921,り,り,False,False
3.921,4.021,る,る,False,False
4.021,4.221,び,び,False,False
4.221,4.355,り,り,False,False
4.355,4.455,る,る,False,False
4.455,4.655,び,び,False,False
4.655,4.755,り,り,False,False
4.755,4.822,る,る,False,False
4.822,5.089,び,び,False,False
5.089,6.79,<silence>,<silence>,False,False
6.79,6.89,り,り,False,False
6.89,7.024,る,る,False,False
7.024,7.224,び,び,False,False
7.224,7.324,り,り,False,False
7.324,7.424,る,る,False,False
7.424,7.624,び,び,False,False
7.624,7.725,り,り,False,False
7.725,7.858,る,る,False,False
7.858,8.058,び,び,False,False
8.058,8.158,り,り,False,False
8.158,8.225,る,る,False,False
8.225,8.492,び,び,False,False
8.492,9.994,<silence>,<silence>,False,False
9.994,10.094,ね,ね,False,False
10.094,10.194,ー,ー,False,False
10.194,10.327,ど,ど,False,False
10.327,10.427,く,く,False,False
10.427,10.527,た,た,False,False
10.527,10.861,ー,ー,False,False
10.861,10.961,へ,へ,False,False
10.961,11.061,い,い,False,False
11.061,11.161,ど,ど,False,False
11.161,11.261,く,く,False,False
11.261,11.362,た,た,False,False
11.362,11.695,ー,ー,False,False
11.695,11.795,め,め,False,False
11.795,11.895,ん,ん,False,False
11.895,12.029,て,て,False,False
12.029,12.329,し,し,False,False
12.329,12.529,て,て,False,False
12.529,12.763,よ,よ,False,False
12.763,12.863,ど,ど,False,False
12.863,12.963,く,く,False,False
12.963,13.097,た,た,False,False
13.097,13.597,ー,ー,False,False
13.597,13.931,ま,ま,False,False
13.931,14.231,た,た,False,False
14.231,14.465,い,い,False,False
14.465,14.665,つ,つ,False,False
14.665,14.865,も,も,False,False
14.865,15.299,の,の,False,False
15.299,15.466,れ,れ,False,False
15.466,15.632,い,い,False,False
15.632,15.933,の,の,False,False
15.933,16.166,ば,ば,False,False
16.166,16.967,ぐ,ぐ,False,False
16.967,17.234,はっ,はっ,False,False
17.234,17.668,ぴー,ぴー,False,False
17.668,17.868,あん,あん,False,False
17.868,18.068,らっ,らっ,False,False
18.068,18.502,きー,きー,False,False
18.502,18.702,い,い,False,False
18.702,18.936,き,き,False,False
18.936,19.136,き,き,False,False
19.136,19.336,す,す,False,False
19.336,19.57,る,る,False,False
19.57,19.737,も,も,False,False
19.737,19.903,ー,ー,False,False
19.903,20.637,ど,ど,False,False
20.637,20.738,く,く,False,False
20.738,20.838,み,み,False,False
20.838,21.038,た,た,False,False
21.038,21.271,て,て,False,False
21.271,21.472,ぜん,ぜん,False,False
21.472,21.672,まい,まい,False,False
21.672,21.772,し,し,False,False
21.772,21.872,き,き,False,False
21.872,22.106,の,の,False,False
22.106,22.439,こ,こ,False,False
22.439,22.773,こ,こ,False,False
22.773,23.173,ろ,ろ,False,False
23.173,23.273,ど,ど,False,False
23.273,23.407,こ,こ,False,False
23.407,23.807,だ,だ,False,False
23.807,24.008,z,,False,True
24.008,24.241,z,,False,True
24.241,24.441,z,,False,True
24.441,24.675,z,,False,True
24.675,24.875,z,,False,True
24.875,25.075,z,,False,True
25.075,25.509,z,,False,True
25.509,27.211,<silence>,<silence>,False,False
27.211,27.411,tick,,False,True
27.411,27.644,tick,,False,True
27.644,27.845,tick,,False,True
27.845,28.078,tick,,False,True
28.078,28.278,tick,,False,True
28.278,28.479,tock,,False,True
28.479,28.912,tock,,False,True
28.912,30.614,<silence>,<silence>,False,False
30.614,30.748,お,お,False,False
30.748,30.848,っ,っ,False,False
30.848,30.948,か,か,False,False
30.948,31.048,し,し,False,False
31.048,31.281,い,い,False,False
31.281,31.482,ね,ね,False,False
31.482,31.582,お,お,False,False
31.582,31.682,っ,っ,False,False
31.682,31.782,か,か,False,False
31.782,31.882,し,し,False,False
31.882,32.116,い,い,False,False
32.116,32.316,ね,ね,False,False
32.316,32.449,く,く,False,False
