start,end,token,cleaned_token,overlap,ignore,gap,other,exclude
0.0,4.254,<silence>,<silence>,False,False,False,False,False
4.254,4.488,ぱ,ぱ,False,False,False,False,False
4.488,4.722,っ,っ,False,False,False,False,False
4.722,4.922,と,と,False,False,False,False,False
4.922,5.155,ま,ま,False,False,False,False,False
5.155,5.456,ん,ん,False,False,False,False,False
5.456,5.789,かい,かい,False,False,False,False,False
5.789,6.223,え,え,False,False,False,False,False
6.223,6.423,が,が,False,False,False,False,False
6.423,6.623,お,お,False,False,False,False,False
6.623,6.857,さ,さ,False,False,False,False,False
6.857,7.191,か,か,False,False,False,False,False
7.191,7.725,せ,せ,False,False,False,False,False
7.725,7.958,う,う,False,False,False,False,False
7.958,8.158,た,た,False,False,False,False,False
8.158,8.359,え,え,False,False,False,False,False
8.359,8.592,や,や,False,False,False,False,False
8.592,9.026,お,お,False,False,False,False,False
9.026,9.259,ど,ど,False,False,False,False,False
9.259,11.362,れ,れ,False,False,False,False,False
11.362,11.595,ち,ち,False,False,False,False,False
11.595,11.795,きゅ,きゅ,False,False,False,False,False
11.795,12.029,う,う,False,False,False,False,False
12.029,12.329,ご,ご,False,False,False,False,False
12.329,12.663,と,と,False,False,False,False,False
12.663,13.097,れっつ,れっつ,False,False,False,False,False
13.097,13.53,しょー,しょー,False,False,False,False,False
13.53,14.164,たいむ,たいむ,False,False,False,False,False
14.164,14.398,と,と,False,False,False,False,False
14.398,14.598,び,び,False,False,False,False,False
14.598,15.032,き,き,False,False,False,False,False
15.032,15.466,り,り,False,False,False,False,False
15.466,15.699,の,の,False,False,False,False,False
15.699,15.799,ま,ま,False,False,False,False,False
15.799,16.133,つ,つ,False,False,False,False,False
16.133,16.433,り,り,False,False,False,False,False
16.433,16.7,は,は,False,False,False,False,False
16.7,16.967,じ,じ,False,False,False,False,False
16.967,17.201,め,め,False,False,False,False,False
17.201,18.068,よう,よう,False,False,False,False,False
18.068,24.975,<silence>,<silence>,False,False,False,False,False
24.975,25.642,white,,False,False,False,True,True
25.642,25.843,ま,ま,False,False,False,False,False
25.843,26.176,っ,っ,False,False,False,False,False
26.176,26.51,し,し,False,False,False,False,False
26.51,26.71,ろ,ろ,False,False,False,False,False
26.71,27.044,ぺ,ぺ,False,False,False,False,False
27.044,27.378,ー,ー,False,False,False,False,False
27.378,27.578,じ,じ,False,False,False,False,False
27.578,27.911,(ペ,ペ,False,False,False,False,False
27.911,28.245,ー,ー,False,False,False,False,False
28.245,28.645,ジ),ジ,False,False,False,False,False
28.645,28.846,い,い,False,False,False,False,False
28.846,29.079,ま,ま,False,False,False,False,False
29.079,29.279,ご,ご,False,False,False,False,False
29.279,29.613,せん,せん,False,False,False,False,False
29.613,29.947,ふ,ふ,False,False,False,False,False
29.947,30.147,が,が,False,False,False,False,False
30.147,30.481,しゅ,しゅ,False,False,False,False,False
30.481,30.814,つ,つ,False,False,False,False,False
30.814,31.248,げ,げ,False,False,False,False,False
31.248,31.448,ん,ん,False,False,False,False,False
31.448,31.882,だ,だ,False,False,False,False,False
31.882,32.516,fly,,False,False,False,True,True
32.516,32.75,じ,じ,False,False,False,False,False
32.75,33.083,げ,げ,False,False,False,False,False
33.083,33.384,ん,ん,False,False,False,False,False
33.384,33.617,も,も,False,False,False,False,False
33.617,33.917,こ,こ,False,False,False,False,False
33.917,34.251,え,え,False,False,False,False,False
34.251,34.485,て,て,False,False,False,False,False
34.485,34.818,(超,,False,False,False,True,True
34.818,35.152,え,え,False,False,False,False,False
35.152,35.552,て),て,False,False,False,False,False
35.552,35.786,き,き,False,False,False,False,False
35.786,36.02,み,み,False,False,False,False,False
36.02,36.22,と,と,False,False,False,False,False
36.22,36.42,お,お,False,False,False,False,False
36.42,36.587,も,も,False,False,False,False,False
36.587,36.854,い,い,False,False,False,False,False
36.854,37.087,で,で,False,False,False,False,False
37.087,37.388,か,か,False,False,False,False,False
37.388,37.721,さ,さ,False,False,False,False,False
37.721,37.955,ね,ね,False,False,False,False,False
37.955,38.389,た,た,False,False,False,False,False
38.389,38.789,ら,ら,False,False,False,False,False
38.789,39.123,あ,あ,False,False,False,False,False
39.123,39.456,た,た,False,False,False,False,False
39.456,39.656,ら,ら,False,False,False,False,False
39.656,39.99,し,し,False,False,False,False,False
39.99,40.29,い,い,False,False,False,False,False
40.29,40.524,み,み,False,False,False,False,False
40.524,40.958,ら,ら,False,False,False,False,False
40.958,41.392,い,い,False,False,False,False,False
41.392,41.792,へ,へ,False,False,False,False,False
41.792,42.459,(hey),,False,False,False,True,True
42.459,43.093,ah,,False,False,False,True,True
43.093,43.327,み,み,False,False,False,False,False
43.327,43.527,え,え,False,False,False,False,False
43.527,43.761,な,な,False,False,False,False,False
43.761,43.961,く,く,False,False,False,False,False
43.961,44.395,た,た,False,False,False,False,False
44.395,44.628,っ,っ,False,False,False,False,False
44.628,44.828,て,て,False,False,False,False,False
44.828,45.262,(メ,メ,False,False,False,False,False
45.262,45.496,ロ,ロ,False,False,False,False,False
45.496,45.896,ディ),ディ,False,False,False,False,False
45.896,46.33,な,な,False,False,False,False,False
46.33,46.563,ん,ん,False,False,False,False,False
46.563,46.764,で,で,False,False,False,False,False
46.764,46.964,だ,だ,False,False,False,False,False
46.964,47.197,ろ,ろ,False,False,False,False,False
47.197,47.431,つ,つ,False,False,False,False,False
47.431,47.831,た,た,False,False,False,False,False
47.831,48.065,わ,わ,False,False,False,False,False
48.065,49.366,る,る,False,False,False,False,False
49.366,49.8,い,い,False,False,False,False,False
49.8,50.0,ろ,ろ,False,False,False,False,False
50.0,50.234,と,と,False,False,False,False,False
50.234,50.434,り,り,False,False,False,False,False
50.434,50.667,ど,ど,False,False,False,False,False
50.667,50.868,り,り,False,False,False,False,False
50.868,51.301,の,の,False,False,False,False,False
51.301,51.735,ゆ,ゆ,False,False,False,False,False
51.735,52.403,め,め,False,False,False,False,False
52.403,52.636,は,は,False,False,False,False,False
52.636,52.936,な,な,False,False,False,False,False
52.936,53.27,び,び,False,False,False,False,False
53.27,53.504,み,み,False,False,False,False,False
53.504,53.704,た,た,False,False,False,False,False
53.704,54.138,い,い,False,False,False,False,False
54.138,54.338,う,う,False,False,False,False,False
54.338,54.671,ち,ち,False,False,False,False,False
54.671,55.005,あ,あ,False,False,False,False,False
55.005,55.205,が,が,False,False,False,False,False
55.205,55.406,る,る,False,False,False,False,False
55.406,55.606,(wo,,False,False,False,True,True
55.606,55.873,oh),,False,False,False,True,True
55.873,56.073,わ,わ,False,False,False,False,False
56.073,56.373,く,く,False,False,False,False,False
56.373,56.74,わ,わ,False,False,False,False,False
56.74,56.907,く,く,False,False,False,False,False
56.907,57.141,(ド,ド,False,False,False,False,False
