start,end,token,cleaned_token,exclude
0.0,9.126,<silence>,<silence>,False
9.126,9.426,may,,True
9.426,9.76,day、,,True
9.76,10.06,may,,True
10.06,10.394,day,,True
10.394,30.581,<silence>,<silence>,False
30.581,30.914,may,,True
30.914,31.181,day,,True
31.181,31.281,こ,こ,False
31.281,31.548,え,え,False
31.548,31.682,は,は,False
31.682,31.849,と,と,False
31.849,32.016,ど,ど,False
32.016,32.149,い,い,False
32.149,32.316,て,て,False
32.316,32.616,る？,る,False
32.616,32.783,こ,こ,False
32.783,32.95,こ,こ,False
32.95,33.083,ろ,ろ,False
33.083,33.417,が,が,False
33.417,33.55,ず,ず,False
33.55,33.917,きっ,きっ,False
33.917,34.218,と,と,False
34.218,34.351,い,い,False
34.351,34.518,た,た,False
34.518,34.685,い,い,False
34.685,34.852,み,み,False
34.852,35.152,た,た,False
35.152,35.652,い,い,False
35.652,35.953,ba,,True
35.953,36.286,by,,True
36.286,36.42,な,な,False
36.42,36.587,ん,ん,False
36.587,36.754,て,て,False
36.754,36.92,み,み,False
36.92,37.054,りょ,りょ,False
37.054,37.221,く,く,False
37.221,37.388,て,て,False
37.388,37.688,き,き,False
37.688,37.855,み,み,False
37.855,38.055,せ,せ,False
38.055,38.188,る,る,False
38.188,38.522,て,て,False
38.522,38.655,く,く,False
38.655,38.822,に,に,False
38.822,38.956,っ,っ,False
38.956,39.289,く,く,False
39.289,39.623,は,は,False
39.623,39.757,す,す,False
39.757,39.923,ぐ,ぐ,False
39.923,40.09,に,に,False
40.09,40.224,く,く,False
40.224,40.391,ら,ら,False
40.391,40.524,く,く,False
40.524,40.691,ら,ら,False
40.691,40.991,may,,True
40.991,41.325,day,,True
41.325,41.492,そ,そ,False
41.492,41.658,れ,れ,False
41.658,41.825,じゃ,じゃ,False
41.825,41.959,も,も,False
41.959,42.126,の,の,False
42.126,42.259,た,た,False
42.259,42.426,り,り,False
42.426,42.593,な,な,False
42.593,42.693,い,い,False
42.693,42.893,す,す,False
42.893,43.06,ぐ,ぐ,False
43.06,43.227,に,に,False
43.227,43.527,もっ,もっ,False
43.527,43.694,と,と,False
