index,file,start,end,token,pred
0,0,0,12720,<silence>,<silence>
1,0,12720,13263,か,た
2,0,13263,13630,た,た
3,0,13630,13831,す,す
4,0,13831,14398,ぎ,き
5,0,14398,14765,た,た
6,0,14765,14965,の,の
7,0,14965,15332,か,た
8,0,15332,15532,な,な
9,0,15532,15699,び,び
10,0,15699,15899,ん,ん
11,0,15899,16065,が,た
12,0,16065,16320,あ,あ
13,0,16320,16435,る,る
14,0,16435,16834,い,い
15,0,16834,17320,わ,だ
16,0,17320,17568,せ,せ
17,0,17568,17730,ん,い
18,0,17730,17935,しゅ,す
19,0,17935,18335,だ,た
20,0,18335,18550,け,け
21,0,18550,18800,や,よ
22,0,18800,19069,わ,は
23,0,19069,19436,い,い
24,0,19436,19837,か,か
25,0,19837,20037,え,た
26,0,20037,20380,ん,<silence>
27,0,20380,20604,め,め
28,0,20604,20771,い,い
29,0,20771,20971,し,つ
30,0,20971,21138,た,た
31,0,21138,21505,あ,<silence>
32,0,21505,21905,か,と
33,0,21905,22072,わ,わ
34,0,22072,22272,い,い
35,0,22272,22473,ん,ん
36,0,22473,22840,わ,だ
37,0,22840,23040,え,か
38,0,23040,23407,ん,<silence>
39,0,23407,23620,え,え
40,0,23620,23774,ん,ん
41,0,23774,23900,な,な
42,0,23900,24341,み,み
43,0,24341,24550,の,の
44,0,24550,24908,え,だ
45,0,24908,25109,ひ,ひ
46,0,25109,25342,ろ,う
47,0,25342,25476,い,い
48,0,25476,25709,の,の
49,0,25709,25843,む,め
50,0,25843,26043,の,の
51,0,26043,26210,わ,ら
52,0,26210,26477,ちゅ,ち
53,0,26477,26577,う,ん
54,0,26577,26844,ど,ぞ
55,0,26844,26977,く,く
56,0,26977,27244,か,た
57,0,27244,27344,ん,ん
58,0,27344,27611,じゃ,じゃ
59,0,27611,27711,ひ,し
60,0,27711,27911,ろ,ろ
61,0,27911,28078,い,い
62,0,28078,28278,そ,そ
63,0,28278,28479,ら,ら
64,0,28479,28712,な,な
65,0,28712,28830,の,な
66,0,28830,29070,に,ん
67,0,29070,29213,き,つ
68,0,29213,29613,みょ,よ
69,0,29613,29830,な,な
70,0,29830,29980,よ,い
71,0,29980,30280,か,た
72,0,30280,30347,ん,ん
73,0,30347,30547,だ,だ
74,0,30547,30714,あ,く
75,0,30714,30914,そ,そ
76,0,30914,31115,う,う
77,0,31115,31482,か,た
78,0,31482,31682,か,た
79,0,31682,31849,ん,ん
80,0,31849,32049,た,た
81,0,32049,32249,ん,ん
82,0,32249,32616,だ,た
83,0,32616,32883,せ,せ
84,0,32883,32983,ん,つ
85,0,32983,33250,ちょ,しょ
86,0,33250,33350,う,う
87,0,33350,33617,を,の
88,0,33617,33717,き,く
89,0,33717,34084,め,め
90,0,34084,34351,て,て
91,0,34351,34485,な,た
92,0,34485,34852,か,た
93,0,34852,35052,た,た
94,0,35052,35219,ん,ん
95,0,35219,35486,だ,が
