start,end,token,exclude
0.0,12.363,<silence>,False
12.363,12.529,い,False
12.529,12.696,つ,False
12.696,12.863,の,False
12.863,13.03,ま,False
13.03,13.197,に,False
13.197,13.364,か,False
13.364,13.53,み,False
13.53,13.697,つ,False
13.697,13.864,け,False
13.864,14.031,て,False
14.031,14.498,た,False
14.498,14.698,と,False
14.698,14.965,お,False
14.965,15.165,い,False
15.165,15.332,ゆ,False
15.332,17.968,め,False
17.968,18.102,ひ,False
18.102,18.268,と,False
18.268,18.435,り,False
18.435,18.635,じゃ,False
18.635,18.802,み,False
18.802,18.969,え,False
18.969,19.269,な,False
19.269,19.603,かっ,True
19.603,19.937,た,False
19.937,20.27,け,False
20.27,20.437,し,False
20.437,22.406,き,False
22.406,22.74,な,False
22.74,23.073,み,False
23.073,23.273,う,False
23.273,23.574,つ,False
23.574,23.741,か,False
23.741,23.907,ぜ,False
23.907,24.241,の,False
24.241,24.408,ね,False
24.408,25.042,と,False
25.042,25.376,か,False
25.376,25.542,そ,False
25.542,25.709,く,False
25.709,25.876,し,False
25.876,26.043,て,False
26.043,26.21,い,False
26.21,26.377,く,False
26.377,26.543,お,False
26.543,26.71,も,False
26.71,26.844,い,False
26.844,28.679,に,False
28.679,29.013,と,False
29.013,29.346,ま,False
29.346,29.68,ど,False
29.68,30.014,い,False
30.014,30.314,を,False
30.314,30.514,お,False
30.514,30.814,ぼ,False
30.814,31.015,え,False
31.015,32.95,た,False
32.95,33.117,ず,False
33.117,33.317,っ,True
33.317,33.951,と,False
33.951,34.251,お,False
34.251,34.418,い,False
34.418,34.752,か,False
34.752,34.952,け,False
34.952,35.586,た,False
35.586,35.919,り,False
35.919,36.286,そ,False
36.286,36.453,う,False
36.453,36.754,の,False
36.754,37.087,す,False
37.087,37.421,が,False
37.421,37.588,た,False
37.588,38.255,は,False
38.255,38.589,ま,False
38.589,39.223,だ,False
39.223,39.556,と,False
39.556,39.89,ど,False
39.89,40.224,か,False
40.224,40.557,な,False
40.557,40.891,く,False
40.891,41.225,て,False
41.225,41.592,と,False
41.592,41.725,お,False
41.725,42.026,い,False
42.026,42.192,け,False
42.192,43.494,ど,False
43.494,43.66,き,False
43.66,43.861,っ,True
43.861,44.161,と,False
44.161,44.328,こ,False
44.328,44.661,の,False
44.661,44.828,しゅ,False
44.828,44.995,ん,False
44.995,45.329,か,False
45.329,45.496,ん,False
45.496,45.996,を,False
45.996,46.13,か,False
46.13,46.33,け,False
46.33,46.497,が,False
46.497,46.73,え,False
46.73,46.93,な,False
46.93,47.131,い,False
47.131,47.398,み,False
47.398,47.631,ん,False
47.631,47.798,な,False
47.798,48.632,で,False
48.632,48.799,と,False
48.799,48.966,も,False
48.966,49.133,に,False
49.133,49.633,い,False
49.633,50.134,く,False
50.134,50.601,よ,False
50.601,50.768,て,False
50.768,50.934,を,False
50.934,51.101,つ,False
51.101,51.435,な,False
51.435,51.602,い,False
51.602,51.735,で,False
51.735,52.236,3,True
52.236,52.736,2,True
52.736,53.237,1,True
53.237,53.404,か,False
53.404,53.57,が,False
53.57,53.737,や,False
53.737,54.038,き,False
54.038,54.238,や,False
54.238,54.571,ど,False
54.571,54.738,し,False
54.738,56.707,て,False
56.707,57.041,ゆ,False
57.041,57.374,め,False
57.374,57.541,の,False
57.541,57.875,ば,False
57.875,58.042,しょ,False
58.042,58.675,へ,False
58.675,59.009,か,False
59.009,59.276,け,False
59.276,59.51,ぬ,False
59.51,59.676,け,False
59.676,60.01,て,False
60.01,60.177,い,False
60.177,61.311,く,False
61.311,61.645,ぼ,False
61.645,61.912,く,False
61.912,62.112,た,False
62.112,62.312,ち,False
62.312,62.98,の,False
62.98,63.313,せ,False
63.313,63.614,い,False
63.614,63.947,しゅ,False
63.947,64.281,ん,False
64.281,64.615,の,False
64.615,64.948,ひ,False
64.948,65.449,か,False
65.449,65.616,り,False
65.616,67.084,は,False
67.084,67.251,だ,False
67.251,67.418,れ,False
67.418,67.584,に,False
67.584,67.918,も,False
67.918,68.085,と,False
68.085,68.385,め,False
68.385,68.552,ら,False
68.552,68.719,れ,False
68.719,69.053,な,False
69.053,69.219,い,False
69.219,70.554,よ,False
70.554,70.721,わ,False
70.721,70.888,ら,False
70.888,71.055,い,False
71.055,71.221,あ,False
71.221,71.388,う,False
71.388,71.522,ぶ,False
71.522,71.655,ん,False
71.655,71.855,だ,False
71.855,75.159,<gap>,True
75.159,75.459,ほ,False
75.459,75.959,ら,False
75.959,76.16,か,False
76.16,76.36,が,False
76.36,76.627,や,False
76.627,76.794,か,False
76.794,77.294,せ,False
77.294,77.461,あ,False
77.461,77.694,し,False
77.694,77.928,た,False
77.928,78.128,へ,False
78.128,78.629,は,False
78.629,78.796,こ,False
78.796,79.096,ぶ,False
79.096,79.296,か,False
79.296,79.797,ら,False
79.797,80.064,き,False
80.064,80.364,み,False
80.364,80.597,の,False
80.597,80.764,と,False
80.764,81.098,な,False
81.098,81.298,り,False
81.298,82.433,へ,False
82.433,82.766,ぼ,False
82.766,83.0,く,False
83.0,83.2,た,False
83.2,83.434,ち,False
83.434,84.101,は,False
84.101,84.435,せ,False
84.435,84.735,か,False
84.735,85.069,い,False
