start,end,token,cleaned_token,overlap
19.37,19.536,と,と,False
19.536,19.737,あ,あ,False
19.737,20.104,る,る,False
20.104,20.27,せ,せ,False
20.27,20.804,か,か,False
20.804,20.971,い,い,False
20.971,22.206,の,の,False
22.206,22.573,お,お,False
22.573,22.906,と,と,False
22.906,23.107,ぎ,ぎ,False
23.107,23.607,の,の,False
23.607,23.807,う,う,False
23.807,25.042,た,た,False
25.042,25.409,き,き,False
25.409,25.776,か,か,False
25.776,26.076,せ,せ,False
26.076,26.477,ま,ま,False
26.477,26.844,しょ,しょ,False
26.844,28.912,う,う,False
28.912,29.613,ど,ど,False
29.613,30.314,こ,こ,False
30.314,31.048,か,か,False
31.048,32.082,に,に,False
32.082,32.449,あ,あ,False
32.449,32.95,る,る,False
32.95,33.484,と,と,False
33.484,33.717,い,い,False
33.717,34.885,う,う,False
34.885,35.252,み,み,False
35.252,35.619,ら,ら,False
35.619,35.986,い,い,False
35.986,36.32,の,の,False
36.32,37.021,お,お,False
37.021,37.388,は,は,False
37.388,37.721,な,な,False
37.721,39.156,し,し,False
40.924,42.026,－そう、,そう,False
42.026,42.159,そ,そ,False
42.159,42.326,れ,れ,False
42.326,43.427,は,は,False
43.427,43.794,わ,わ,False
43.794,44.294,す,す,False
44.294,44.461,れ,れ,False
44.461,44.828,て,て,False
44.828,44.995,い,い,False
44.995,45.863,た,た,False
45.863,46.597,ゆ,ゆ,False
46.597,47.297,め,め,False
47.297,47.998,や,や,False
47.998,48.532,り,り,False
48.532,49.033,そ,そ,False
49.033,49.199,う,う,False
49.199,51.502,の,の,False
51.502,51.869,は,は,False
51.869,53.604,て,て,False
53.604,54.338,こ,こ,False
54.338,55.039,の,の,False
55.039,55.372,お,お,False
55.372,56.073,お,お,False
56.073,56.273,き,き,False
56.273,57.541,な,な,False
57.541,57.841,せ,せ,False
57.841,58.909,か,か,False
58.909,59.109,い,い,False
59.109,60.244,で,で,False
60.244,60.677,ち,ち,False
60.677,61.045,っ,っ,False
61.045,61.378,ぽ,ぽ,False
