start,end,token,cleaned_token,overlap
11.562,11.729,あ,あ,False
11.729,11.895,く,く,False
11.895,12.196,せ,せ,False
12.196,12.363,す,す,False
12.363,12.529,よ,よ,False
12.529,12.663,う,う,False
12.663,12.997,こ,こ,False
12.997,13.63,そ,そ,False
13.63,13.764,あ,あ,False
13.764,13.931,さ,さ,False
13.931,14.098,ひ,ひ,False
14.098,14.264,る,る,False
14.264,14.398,よ,よ,False
14.398,14.565,る,る,False
14.565,14.732,も,も,False
14.732,14.898,な,な,False
14.898,15.532,く,く,False
15.532,15.866,あ,あ,False
15.866,16.0,い,い,False
16.0,16.166,に,に,False
16.166,16.333,き,き,False
16.333,16.8,て,て,False
16.8,16.967,く,く,False
16.967,17.101,れ,れ,False
17.101,17.434,て,て,False
17.434,17.735,う,う,False
17.735,17.901,れ,れ,False
17.901,18.068,し,し,False
18.068,18.369,い,い,False
18.369,18.535,わ,わ,False
18.535,18.669,た,た,False
18.669,18.836,し,し,False
18.836,19.336,も,も,False
19.336,19.47,じ,じ,False
19.47,19.636,つ,つ,False
19.636,19.937,は,は,False
19.937,20.27,ま,ま,False
20.27,20.437,っ,っ,False
20.437,20.604,て,て,False
20.604,21.672,た,た,False
21.672,21.839,きょ,きょ,False
21.839,22.006,う,う,False
22.006,22.473,の,の,False
22.473,22.639,あ,あ,False
22.639,22.773,れ,れ,False
22.773,23.107,こ,こ,False
23.107,23.741,れ,れ,False
23.741,23.907,き,き,False
23.907,24.041,み,み,False
24.041,24.208,と,と,False
24.208,24.375,きょ,きょ,False
24.375,24.541,う,う,False
24.541,24.708,ゆ,ゆ,False
24.708,24.842,う,う,False
24.842,25.009,し,し,False
25.009,25.642,て,て,False
25.642,25.943,お,お,False
25.943,26.11,か,か,False
26.11,26.276,え,え,False
26.276,26.41,り,り,False
26.41,26.91,も,も,False
26.91,27.077,い,い,False
27.077,27.211,っ,っ,False
27.211,27.544,て,て,False
27.544,27.845,き,き,False
27.845,27.978,ま,ま,False
27.978,28.178,す,す,False
28.178,28.479,も,も,False
28.479,28.645,じ,じ,False
28.645,28.779,ゆ,ゆ,False
28.779,28.946,う,う,False
28.946,29.279,な,な,False
29.279,29.58,じ,じ,False
29.58,29.747,だ,だ,False
29.747,29.913,い,い,False
29.913,30.047,だ,だ,False
30.047,30.547,も,も,False
30.547,30.848,ん,ん,False
31.448,31.915,しゅ,しゅ,False
31.915,32.082,ちょ,ちょ,False
32.082,32.383,う,う,False
32.383,32.583,つ,つ,False
32.583,32.883,よ,よ,False
32.883,33.183,め,め,False
33.183,33.35,だ,だ,False
33.35,33.517,っ,っ,False
33.517,33.984,た？,た,False
33.984,34.451,い,い,False
34.451,34.618,し,し,False
34.618,34.918,き,き,False
34.918,35.085,た,た,False
35.085,35.419,か,か,False
35.419,35.719,め,め,False
35.719,35.886,だ,だ,False
35.886,36.02,っ,っ,False
36.02,36.687,た？,た,False
36.687,36.854,お,お,False
36.854,36.954,て,て,False
36.954,37.154,ん,ん,False
37.154,37.488,き,き,False
37.488,37.621,し,し,False
37.621,37.788,だ,だ,False
37.788,37.955,い,い,False
37.955,38.255,と,と,False
38.255,39.056,か,か,False
39.056,39.223,さ,さ,False
39.223,39.356,え,え,False
39.356,39.523,な,な,False
39.523,39.69,い,い,False
39.69,39.823,い,い,False
39.823,39.99,い,い,False
39.99,40.157,わ,わ,False
40.157,40.457,け,け,False
40.457,40.791,よ,よ,False
40.791,41.592,り,り,False
41.592,42.059,た,た,False
42.059,42.226,の,の,False
42.226,42.359,し,し,False
42.359,42.559,い,い,False
42.559,42.693,し,し,False
42.693,42.993,じょ,じょ,False
42.993,43.293,う,う,False
43.293,43.627,しゅ,しゅ,False
43.627,44.128,ぎ,ぎ,False
44.128,44.595,み,み,False
44.595,44.728,と,と,False
44.728,45.062,め,め,False
45.062,45.229,て,て,False
45.229,45.529,い,い,False
45.529,45.829,き,き,False
45.829,46.163,た,た,False
46.163,46.797,い,い,False
46.797,46.964,ご,ご,False
46.964,47.097,さ,さ,False
47.097,47.264,ん,ん,False
47.264,47.431,ど,ど,False
47.431,47.598,う,う,False
47.598,47.765,あ,あ,False
47.765,48.065,り,り,False
48.065,48.365,が,が,False
48.365,49.166,と,と,False
49.166,49.333,こ,こ,False
49.333,49.466,れ,れ,False
49.466,49.633,が,が,False
49.633,49.8,わ,わ,False
49.8,50.134,た,た,False
50.134,50.267,し,し,False
50.267,50.601,の,の,False
50.601,50.734,りゅ,りゅ,False
50.734,50.901,う,う,False
50.901,51.668,ぎ,ぎ,False
51.668,51.835,か,か,False
51.835,52.002,ん,ん,False
52.002,52.136,ち,ち,False
52.136,52.469,が,が,False
52.469,52.77,い,い,False
52.77,53.103,さ,さ,False
53.103,53.27,れ,れ,False
53.27,53.404,た,た,False
53.404,54.204,ら,ら,False
54.204,54.338,そ,そ,False
54.338,54.505,りゃ,りゃ,False
54.505,54.671,ま,ま,False
54.671,54.838,や,や,False
54.838,55.005,っ,っ,False
55.005,55.305,ぱ,ぱ,False
55.305,55.639,へ,へ,False
55.639,55.773,こ,こ,False
55.773,55.939,む,む,False
55.939,56.74,よ,よ,False
56.74,56.907,き,き,False
56.907,57.041,み,み,False
57.041,57.241,の,の,False
57.241,57.541,こ,こ,False
57.541,57.841,と,と,False
57.841,58.475,が,が,False
58.475,58.809,す,す,False
58.809,58.942,き,き,False
58.942,59.109,だ,だ,False
60.677,60.978,ル,ル,False
60.978,61.779,カ）,カ,False
61.779,61.945,あ,あ,False
61.945,62.079,ゆ,ゆ,False
62.079,62.246,み,み,False
62.246,62.413,よ,よ,False
62.413,62.546,っ,っ,False
62.546,62.88,て,て,False
62.88,63.18,は,は,False
63.18,63.347,に,に,False
63.347,63.514,か,か,False
63.514,64.281,む,む,False
64.281,64.481,ちょ,ちょ,False
64.481,64.615,っ,っ,False
64.615,64.748,と,と,False
64.748,64.915,し,し,False
64.915,65.249,た,た,False
65.249,65.416,りょ,りょ,False
65.416,65.716,う,う,False
65.716,65.883,お,お,False
65.883,66.016,も,も,False
66.016,66.85,い？,い,False
66.85,67.017,は,は,False
67.017,67.151,ー,ー,False
67.151,67.317,と,と,False
67.317,67.651,れ,れ,False
67.651,67.951,べ,べ,False
67.951,68.585,る,る,False
68.585,68.719,あ,あ,False
68.719,68.886,っ,っ,False
68.886,69.053,ぷ,ぷ,False
69.053,69.219,し,し,False
71.889,72.056,さ,さ,False
72.056,72.189,い,い,False
72.189,72.356,きょ,きょ,False
72.356,72.523,う,う,False
72.523,72.656,ち,ち,False
72.656,72.823,っ,っ,False
72.823,72.99,く,く,False
72.99,73.323,ポ,ポ,False
73.323,73.624,ル,ル,False
73.624,74.425,カ）,カ,False
84.835,85.002,こ,こ,False
85.002,85.169,う,う,False
85.169,85.302,い,い,False
85.302,85.636,う,う,False
85.636,85.769,きょ,きょ,False
85.769,85.936,り,り,False
85.936,86.27,か,か,False
86.27,86.87,ん,ん,False
86.87,87.037,い,い,False
87.037,87.204,ま,ま,False
87.204,87.371,ど,ど,False
87.371,87.504,き,き,False
87.504,87.671,ぽ,ぽ,False
87.671,87.838,い,い,False
87.838,87.971,の,の,False
87.971,88.138,か,か,False
88.138,88.772,な？,な,False
88.772,89.106,か,か,False
89.106,89.239,ぞ,ぞ,False
89.239,89.406,く,く,False
89.406,89.573,と,と,False
89.573,90.04,か,か,False
90.04,90.207,と,と,False
90.207,90.34,も,も,False
90.34,90.674,だ,だ,False
90.674,90.974,ち,ち,False
90.974,91.141,よ,よ,False
91.141,91.308,り,り,False
91.308,91.608,も,も,False
91.608,91.775,ち,ち,False
91.775,91.942,か,か,False
91.942,92.109,く,く,False
92.109,92.409,か,か,False
92.409,92.576,ん,ん,False
92.576,92.709,じ,じ,False
92.709,92.91,る,る,False
92.91,93.177,こ,こ,False
93.177,93.51,と,と,False
93.51,93.677,あ,あ,False
93.677,93.811,る,る,False
93.811,94.945,し,し,False
94.945,95.112,きゅ,きゅ,False
95.112,95.279,う,う,False
95.279,95.746,に,に,False
95.746,95.879,ご,ご,False
95.879,96.046,ぶ,ぶ,False
96.046,96.38,さ,さ,False
96.38,96.98,た,た,False
96.98,97.147,す,す,False
97.147,97.314,る,る,False
97.314,97.481,と,と,False
97.481,97.614,き,き,False
97.614,97.815,が,が,False
97.815,97.948,あ,あ,False
97.948,98.115,っ,っ,False
98.115,98.282,て,て,False
98.282,98.916,も,も,False
98.916,99.216,い,い,False
99.216,99.383,つ,つ,False
99.383,99.55,だ,だ,False
99.55,99.683,っ,っ,False
99.683,100.184,て,て,False
100.184,100.317,も,も,False
100.317,100.484,ど,ど,False
100.484,100.784,っ,っ,False
100.784,101.118,て,て,False
101.118,101.251,こ,こ,False
101.251,101.418,れ,れ,False
101.418,101.752,る,る,False
101.752,101.919,あ,あ,False
101.919,102.052,そ,そ,False
102.052,102.219,び,び,False
102.219,102.553,ば,ば,False
102.553,102.853,って,って,False
102.853,103.02,い,い,False
103.02,103.153,い,い,False
103.153,103.32,よ,よ,False
103.32,104.088,ね,ね,False
104.721,105.022,い,い,False
105.022,105.189,っ,っ,False
