start,end,token
0.0,11.75,<s></s>
11.75,11.93,て
11.93,12.08,に
12.08,12.238,し
12.24,12.36,た
12.36,12.53,も
12.528,12.695,の
12.7,13.03,い
13.03,13.191,が
13.19,13.33,い
13.33,13.67,が
13.67,13.83,<bre>
13.83,14.03,き
14.03,14.43,れ
14.43,14.668,い
14.67,14.964,に
14.96,15.12,み
15.12,15.287,え
15.29,15.58,た
16.611,16.761,<bre>
16.81,17.131,ど
17.13,17.34,せ
17.34,17.51,こ
17.506,17.63,ん
17.634,17.8,な
17.8,17.96,も
17.964,18.14,ん
18.14,18.46,か
18.46,18.681,が
18.681,18.94,<bre>
18.94,19.09,く
19.09,19.32,ち
19.32,19.567,<bre>
19.567,19.69,ぐ
19.69,20.065,せ
20.07,20.17,だ
20.17,20.336,っ (x)
20.34,20.869,た
21.717,21.84,<bre>
21.982,22.04,う
22.04,22.3,す
22.299,22.41,ら
22.41,22.617,わ
22.62,22.78,ら
22.78,22.94,い
22.94,23.16,ば
23.16,23.25,っ (x)
23.25,23.574,か
23.57,23.863,が
23.863,24.044,<bre>
24.044,24.21,と
24.21,24.531,く
24.69,24.81,い
24.81,25.17,に
25.17,25.402,な
25.4,25.48,っ (x)
25.48,25.845,た
25.845,26.268,<bre>
26.27,26.598,け
26.6,26.903,ど
26.903,27.103,<bre>
27.1,27.23,い
27.23,27.413,ち
27.41,27.601,ば
27.6,27.66,ん
27.659,27.88,わ
27.878,28.012,ら
28.01,28.27,え
28.268,28.352,る
28.35,28.68,の
28.68,28.967,わ
28.967,29.165,<bre>
29.165,29.35,こ
29.35,29.622,の
29.622,29.798000000000002,<bre>
29.8,29.986,ぷ
29.99,30.24,ら
30.24,30.429,い
30.43,30.628,ど
30.63,31.007,だ
31.158,31.376,<bre>
31.39,31.57,い
31.57,32.01,しょ
32.01,32.259,け
32.26,32.38,ん
32.38,32.487,め
32.49,32.62,い
32.62,32.89,な
32.89,32.98,ん
32.98,33.503,か
33.598,33.859,<bre>
33.92,34.2,ぜ
34.201,34.28,ん
34.28,34.444,ぶ
34.44,34.568,む
34.57,34.917,だ
34.92,35.214,っ (x)
35.21,35.45,た
35.448,35.52,ん
35.52,36.133,だ
36.269,36.49,<bre>
36.491,36.817,あ
36.82,36.99,も
36.987,37.087,い
37.09,37.463,や
37.46,37.76,に
37.76,37.997,な
38.0,38.087,っ (x)
38.09,40.248,た
40.25,40.671,<echo>
40.67,40.86,<bre>
40.86,41.11,に
41.11,41.272,げ
41.27,41.43,た
41.43,41.608,く
41.61,41.711,な
41.71,41.837,い
41.84,41.92,っ (x)
41.92,42.06,て
42.06,42.352,き
42.39,42.539,こ
42.54,42.669,え
42.712,42.983,た
42.983,43.194,<bre>
43.194,43.373,こ
43.37,43.629,れ
43.629,43.791,<bre>
43.791,43.99,わ
43.993,44.228,ぼ
44.228,44.328,く
44.33,44.49,の
44.485,44.63,こ
44.63,45.0,え
45.0,45.42,<s></s>
45.42,45.74,い
45.74,45.875,か
45.88,46.03,い
46.03,46.398,じゅ
46.4,46.508,か
46.51,46.62,い
46.62,46.96,ひゃ
46.96,47.023,っ (x)
47.02,47.12,か
47.12,47.25,い
47.25,47.577,せ
47.58,47.65,ん
47.65,47.937,かい
47.94,48.23,ちょ
48.23,48.533,せん
48.53,48.912,を
48.91,49.21,つ
49.21,49.554,づ
49.55,49.789,け
49.79,49.93,る
49.93,50.253,よ
50.253,50.5,<bre>
50.5,50.706,ま
50.71,50.86,だ
50.863,51.04,た
51.04,51.18,り
51.18,51.322,な
51.32,51.53,い
51.53,51.79,<bre>
51.79,52.291,て
52.29,52.459,お
52.46,52.687,も
52.69,52.773,っ (x)
52.77,52.942,て
52.94,53.186,る
53.186,53.371,<bre>
53.371,53.571,や
53.57,53.712,ま
53.71,53.835,な
53.84,53.97,い
53.97,54.22,あ
54.22,54.53,め
54.53,54.696,の
54.7,54.819,な
54.82,55.25,か
55.25,55.61,<echo>
55.61,55.89,ず
55.891,55.97,っ (x)
55.97,56.254,と
56.25,56.534,か
56.53,56.589,ん
56.59,56.74,が
56.74,56.91,え
56.91,57.216,て
57.22,57.488,か
57.49,57.54,ん
57.543,57.67,が
57.67,57.86,え
57.86,58.174,て
58.17,58.423,か
58.42,58.51,ん
58.51,58.69,が
58.69,58.807,え
58.81,59.13,て
59.13,59.376,み
59.38,59.48,つ
59.48,59.794,け
59.79,60.01,だ
60.01,60.402,せ
60.4,60.485,<echo>
60.49,60.678,<bre>
60.678,60.746,<echo>
60.746,60.897,ぼ
60.9,61.082,く
61.08,61.232,だ
61.23,61.383,け
61.38,61.725,の
61.725,61.99,<bre>
61.99,62.493,か
62.49,62.992,そ
62.99,63.13,ろ
63.13,63.398,を
63.398,63.536,<bre>
63.536,63.928,しょ
63.93,64.072,め
64.07,64.23,い
64.23,64.432,し
64.43,64.511,た
64.51,64.711,い
64.71,64.75,ん
64.75,64.85,だ
64.847,65.049,よ
65.05,65.536,な
65.536,65.73,<bre>
65.73,66.34,そ
66.34,66.522,だ
66.52,68.97,ろ
68.97,70.456,<echo>
70.46,70.771,<bre>
70.77,71.44,そ
71.44,71.635,だ
71.64,74.177,ろ
74.18,76.881,<s></s>
76.88,76.93,あ
76.93,77.204,せ
77.2,77.354,り
77.35,77.51,あ
77.51,77.681,が
77.68,77.746,る
77.75,78.02,し
78.017,78.15,ん
78.15,78.361,ぱ
78.36,78.754,す
78.754,78.9,<bre>
78.9,79.108,に
79.11,79.358,う
79.36,79.718,そ
79.72,80.042,つ
80.04,80.202,く
80.2,80.404,よ (x)
80.4,80.743,に
81.97,82.13,じ
82.13,82.48,ぶん
82.48,82.6,を
82.6,82.77,お
82.767,82.863,ち
82.86,83.25,つ
83.253,83.6,け
83.6,83.841,る
83.841,84.001,<bre>
84.001,84.2,ひ
84.2,84.515,に
84.66,84.86,く
84.86,85.183,わ
85.18,85.32,い
85.32,85.493,ら
85.49,85.626,な
85.63,85.994,い
85.994,86.995,<sil>
86.995,87.18,そ
87.18,87.352,れ
87.35,87.53,を
87.53,87.81,こ
87.81,88.352,よ
88.35,88.604,か
88.6,88.68,ん
88.68,88.98,に
89.146,89.325,お
89.33,89.78,き
89.78,89.939,か
89.94,90.269,え
90.27,90.437,た
90.44,90.54,ら
90.54,90.921,さ
90.921,91.222,<bre>
91.222,91.57,きょ
91.57,91.717,も
91.72,91.875,ま
91.88,92.145,た
92.145,92.367,<bre>
92.367,92.509,い
92.51,92.675,ど
92.68,92.837,む
92.84,92.945,べ
92.98,93.1,き
93.097,93.465,は
93.47,93.64,ど
93.64,93.786,る
93.79,94.06,が
94.06,94.243,<bre>
94.243,94.378,ほ
94.38,94.696,ら
94.7,94.89,<bre>
94.89,95.01,み
95.012,95.344,え
95.34,95.534,た
95.53,95.709,だ
95.71,96.02,ろ
96.469,96.746,か
96.75,96.81,っ (x)
96.81,97.139,と
97.14,97.38,の
97.38,97.65,す
97.645,97.748,き
97.748,98.048,ま
98.05,98.665,で
98.665,98.936,<bre>
98.936,99.368,さ
99.37,99.697,び
99.7,99.925,ない
99.93,100.333,せい
100.33,100.605,めい
100.61,101.287,を
101.567,101.936,ひ
101.94,102.25,ね
102.25,102.565,り
102.57,102.789,だ
102.79,103.02,せ
103.02,103.168,る
103.17,105.39,か
105.388,105.957,<s></s>
105.957,106.022,で
106.022,106.226,で
106.23,106.36,な
106.36,106.557,い
106.56,106.737,の
106.74,107.028,な
107.03,107.176,ら
107.18,107.55,と
107.55,107.653,っ (x)
107.65,107.804,く
107.8,108.099,に
108.293,108.45,あ
108.45,108.77,き
108.915,109.12,ら
109.12,109.36,め
109.36,109.423,っ (x)
109.423,109.56,て
109.56,109.692,る
109.69,110.027,よ
110.027,110.075,<s>
110.075,110.493,<s></s>
110.522,110.783,こん
110.78,111.13,しん
111.13,111.392,の
111.39,111.79,しん
111.79,112.128,ねん
112.13,112.272,で
112.27,112.43,う
112.43,112.691,た
112.69,112.761,っ (x)
112.76,113.005,た
113.01,113.072,っ (x)
113.07,113.391,て
113.39,113.73,と
113.728,113.962,ど
113.96,114.07,く
114.07,114.348,わ
114.35,114.653,け
114.65,114.965,じゃ
114.97,115.38,ない
115.548,115.823,す
115.82,115.957,ば
115.96,116.088,ら
116.09,116.23,し
116.23,116.617,い
116.915,117.551,たい
117.55,117.804,ぼ
117.8,117.89,く
117.89,118.047,ら
118.05,118.33,の
118.52,118.8,げん
118.8,119.078,じ
119.08,119.312,つ
119.31,119.623,ざん
119.62,119.782,こ
119.78,119.96,く
119.96,120.351,だ
120.7,121.07,あい
121.07,121.37,まい
121.37,121.67,を
121.67,121.922,け
121.92,122.016,ず
122.02,122.31,り
122.31,122.576,と
122.58,122.642,っ (x)
122.64,122.968,て
122.97,123.31,と
123.307,123.606,が
123.61,123.807,ら
123.81,123.933,せ
123.93,124.248,て
124.25,124.58,ま
124.579,124.71,た
124.71,124.89,う
124.89,125.151,た
125.15,125.22,っ (x)
125.22,125.525,て
125.808,126.008,あ
126.01,126.174,き
126.17,126.339,ら
126.34,126.505,め
126.51,126.851,る
127.076,127.71,り
127.71,128.075,ゆう
128.08,128.256,な
128.26,128.548,ら
128.74,128.872,か
128.87,129.059,こ
129.06,129.33,に
129.334,129.536,す
129.54,129.983,て
129.98,130.158,き
130.16,133.1,た
133.104,133.783,<s></s>
133.83,134.042,あい
134.04,134.474,し
134.47,134.631,て
134.63,135.06,たい
135.063,136.054,よ
136.074,138.889,<s></s>
138.945,139.16,あい
139.16,139.582,し
139.58,139.755,て
139.76,140.16,たい
140.16,140.73,よ
141.005,141.103,た
141.1,141.34,ち
141.34,141.512,ど
141.51,141.693,ま
141.69,141.988,る
141.99,142.148,た
142.15,142.311,び
142.31,142.528,に
142.53,142.93,す
142.93,143.256,み
143.26,143.416,た
143.42,143.589,が
143.59,143.86,る
143.86,143.98,あ
143.98,144.186,し
144.19,144.625,を
144.807,145.164,ま
145.16,145.46,だい
145.46,147.075,こ
147.33,147.66,も
147.66,147.717,っ (x)
147.72,147.992,とい
147.99,150.66,こ
150.66,155.18,<s></s>
155.183,155.441,ち
155.44,155.73,さ
155.73,155.857,く
155.86,156.14,て
156.14,156.44,た
156.439,156.606,よ
156.61,156.788,り
156.79,156.998,な
157.0,157.14,く
157.14,157.38,て
157.38,157.71,ふ
157.707,157.875,あ
157.875,158.04,ん
158.04,158.207,て
158.207,158.375,い
158.375,158.709,な
158.709,159.008,ほ
159.01,159.37,は
159.37,159.697,ば
159.7,160.007,が
160.336,160.469,つ
160.47,160.656,な
160.66,160.922,が
160.92,160.961,っ (x)
160.96,161.318,て
161.604,162.183,う
162.242,162.392,た
162.39,162.56,に
162.561,162.736,な
162.74,163.004,る
163.2,163.342,ぼ
163.34,163.48,く
163.48,163.816,を
163.82,164.282,き
164.314,164.46,て
164.46,164.64,く
164.64,164.94,れ
164.94,165.404,<s></s>
165.4,165.68,い
165.751,166.02,かい
166.015,166.318,じゅ
166.374,166.641,かい
166.64,166.85,ひゃ
166.85,167.0,っ (x)
166.998,167.245,かい
167.25,167.616,せん
167.62,167.95,かい
167.95,168.22,ちょ
168.22,168.588,せん
168.59,168.905,を
168.91,169.22,つ
169.22,169.542,づ
169.54,169.75,け
169.752,169.887,る
169.89,170.211,よ
170.49,170.702,ま
170.7,170.86,だ
170.86,171.02,た
171.02,171.174,り
171.17,171.503,ない
171.786,172.19,て
172.188,172.389,お
172.52,172.69,も
172.69,172.78,っ (x)
172.78,172.946,て
172.95,173.237,る
173.404,173.585,や
173.59,173.731,ま
173.73,173.99,ない
173.99,174.213,あ
174.21,174.536,め
174.54,174.685,の
174.69,174.828,な
174.83,175.244,か
175.63,175.882,ず
175.88,175.971,っ (x)
175.97,176.27,と
176.27,176.59,かん
176.591,176.73,が
176.73,176.893,え
176.89,177.174,て
177.17,177.558,かん
177.56,177.69,が
177.69,177.872,え
177.87,178.106,て
178.11,178.53,かん
178.53,178.656,が
178.66,178.81,え
178.81,179.148,て
179.15,179.368,み
179.37,179.48,つ
179.48,179.807,け
179.81,180.04,だ
180.04,180.5,せ
180.728,180.896,ぼ
180.9,181.069,く
181.07,181.225,だ
181.23,181.397,け
181.4,181.72,の
182.0,182.66,えい
182.66,182.93,こ
182.93,183.149,ろ
183.15,183.53,を
183.53,183.952,しょ
183.95,184.245,めい
184.25,184.401,し
184.4,184.634,たい
184.63,184.733,ん
184.73,184.88,だ
184.88,185.054,よ
185.05,185.589,な
185.836,186.002,も
186.0,186.1,し
186.1,186.17,た
186.17,186.342,た
186.34,186.484,ど
186.48,186.865,り
187.096,187.77,つい
187.77,188.105,た
188.11,188.27,な
188.271,188.597,ら
188.71,189.01,ほ
189.031,189.281,こ
189.28,189.37,っ (x)
189.372,189.506,て
189.51,189.83,い
189.83,190.04,か
190.04,191.28,な
191.283,210.503,<s></s>
