start,end,token,exclude
0.0,14.564,<silence>,False
14.564,14.765,か,False
14.765,14.964,ぜ,False
14.96,15.48,に,False
15.48,15.665,ふ,False
15.665,15.67,<silence>,False
15.67,15.87,か,False
15.865,16.051,れ,False
16.05,16.98,て,False
16.98,17.5,<silence>,False
17.5,17.721,だ,False
17.72,17.9,れ,False
17.9,18.434,も,False
18.434,18.602,き,False
18.6,18.997,づ,False
18.997,19.0,<silence>,False
19.0,19.394,か,False
19.39,19.74,ぬ,False
19.74,20.148,よ,False
20.148,20.45,<silence>,False
20.45,20.67,く,False
20.67,20.832,べ,False
20.83,21.45,つ,False
21.45,21.602,が,False
21.6,21.77,つ,False
21.77,21.983,か,False
21.98,23.039,ない,True
23.039,23.36,<silence>,False
23.36,23.582,も,False
23.58,23.77,の,False
23.77,24.34,く,False
24.34,24.554,ろ,False
24.55,24.805,の,False
24.805,24.81,<silence>,False
24.81,25.24,せ,False
25.24,25.242,<silence>,False
25.242,25.609,か,False
25.609,25.61,<silence>,False
25.61,26.013,い,False
26.013,26.34,<silence>,False
26.34,26.537,い,False
26.537,26.54,<silence>,False
26.54,26.71,ろ,False
26.71,27.277,を,False
27.277,27.411,た,False
27.411,27.643,し,False
27.64,27.825,て,False
27.825,27.83,<silence>,False
27.83,28.734,も,False
28.73,29.31,<silence>,False
29.31,29.48,な,False
29.48,29.645,に,False
29.645,29.65,<silence>,False
29.65,30.24,も,False
30.24,30.41,み,False
30.41,30.414,<silence>,False
30.414,30.78,え,False
30.78,31.097,な,False
31.097,31.1,<silence>,False
31.1,31.48,く,False
31.48,31.985,て,False
31.985,32.231,<silence>,False
32.231,32.48,ま,False
32.48,32.632,る,False
32.63,33.041,で,False
33.04,33.36,わ,False
33.357,33.518,た,False
33.518,33.52,<silence>,False
33.52,33.709,し,False
33.709,33.71,<silence>,False
33.71,34.718,は,False
34.718,35.19,<silence>,False
35.19,35.38,い,False
35.377,35.562,き,False
35.56,36.053,を,False
36.053,36.12,<silence>,False
36.12,36.32,と,False
36.32,36.659,め,False
36.659,36.66,<silence>,False
36.66,37.062,て,False
37.06,37.364,い,False
37.36,40.025,た,False
40.025,42.512,<silence>,False
42.512,42.926,も,False
42.926,43.292,い,False
43.29,43.736,よ,False
43.736,44.017,<silence>,False
44.017,44.36,と,False
44.36,44.364,<silence>,False
44.364,44.56,く,False
44.56,44.561,<silence>,False
44.561,44.762,て,False
44.76,45.234,も,False
45.234,45.493,<silence>,False
45.493,45.86,か,False
45.86,45.862,<silence>,False
45.862,46.063,な,False
46.06,46.23,え,False
46.23,46.708,たい,True
46.708,46.96,<silence>,False
46.96,47.299,わ,False
47.299,47.33,<silence>,False
47.33,47.445,た,False
47.445,47.45,<silence>,False
47.45,47.678,し,False
47.678,47.68,<silence>,False
47.68,48.171,わ,False
48.171,48.432,<silence>,False
48.432,48.798,こ,False
48.798,49.365,ん,False
49.365,49.37,<silence>,False
49.37,49.549,な,False
49.549,49.55,<silence>,False
49.55,49.768,せ,False
49.768,49.77,<silence>,False
49.77,49.948,か,False
49.948,49.95,<silence>,False
49.95,50.318,い,False
50.318,50.634,<silence>,False
50.634,50.868,お,False
50.868,51.167,も,False
51.167,51.368,い,False
51.368,51.37,<silence>,False
51.37,51.813,も,False
51.813,52.101,<silence>,False
52.101,52.469,だ,False
52.469,52.47,<silence>,False
52.47,52.785,き,False
52.785,52.79,<silence>,False
52.79,53.24,し,False
53.237,53.603,め,False
53.603,53.737,て,False
53.737,53.97,い,False
53.97,54.67,たい,True
54.67,54.871,の,False
54.871,55.271,に,False
55.271,55.439,ゆ,False
55.439,55.44,<silence>,False
55.44,55.817,め,False
55.817,55.82,<silence>,False
55.82,56.01,の,False
56.006,56.539,きゃ,False
56.539,56.707,ん,False
56.707,56.71,<silence>,False
56.71,57.194,ば,False
57.19,57.47,す,False
57.47,57.473,<silence>,False
57.473,58.008,に,False
58.008,58.21,<silence>,False
58.21,58.361,い,False
58.36,58.7,つ,False
58.7,58.703,<silence>,False
58.703,58.91,づ,False
58.908,59.509,け,False
59.509,59.676,る,False
59.676,60.243,い,False
60.243,60.476,み,False
60.476,60.48,<silence>,False
60.48,61.001,わ,False
61.001,61.31,<silence>,False
61.31,61.712,こ,False
61.712,61.878,の,False
61.878,62.412,む,False
62.412,62.612,ね,False
62.612,63.402,に,False
63.402,63.514,<silence>,False
63.514,63.881,か,False
63.881,64.224,が,False
64.22,64.65,や,False
64.647,64.814,い,False
64.814,65.349,て,False
65.349,65.549,い,False
65.549,66.016,る,False
66.016,66.32,<silence>,False
66.317,66.468,す,False
66.468,66.47,<silence>,False
66.47,66.82,と,False
66.816,70.153,り,False
70.15,79.334,<silence>,False
79.334,79.56,あ,False
79.56,80.284,たえ,True
80.28,80.477,る,False
80.477,80.48,<silence>,False
80.48,80.647,こ,False
80.647,80.65,<silence>,False
80.65,80.853,と,False
80.85,81.85,に,False
81.85,82.28,<silence>,False
82.28,82.47,い,False
82.47,82.67,み,False
82.665,83.233,な,False
83.233,83.4,ど,False
83.4,83.766,な,False
83.766,84.134,い,False
84.13,84.525,け,False
84.525,84.53,<silence>,False
84.53,85.01,ど,False
85.01,85.269,<silence>,False
85.269,85.436,ひ,False
85.436,85.635,ろ,False
85.635,86.17,い,False
86.17,86.324,あ,False
86.32,86.54,つ,False
86.54,86.74,め,False
86.736,87.618,た,False
87.618,88.148,<silence>,False
88.148,88.39,か,False
88.39,88.595,け,False
88.595,88.6,<silence>,False
88.6,89.01,ら,False
89.01,89.014,<silence>,False
89.014,89.177,う,False
89.177,89.18,<silence>,False
89.18,89.67,し,False
89.67,89.673,<silence>,False
89.673,90.04,な,False
90.04,90.373,う,False
90.37,90.721,の,False
90.721,91.062,<silence>,False
91.062,91.41,そ,False
91.41,91.88,し,False
91.88,92.536,て,False
92.536,92.54,<silence>,False
92.54,93.01,よ,False
93.01,93.38,る,False
93.38,94.001,は,False
94.0,94.44,そ,False
94.44,94.765,の,False
94.765,94.77,<silence>,False
94.77,95.01,つ,False
95.01,95.54,め,False
95.54,95.844,た,False
95.84,96.288,さ,False
96.288,96.29,<silence>,False
96.29,96.714,を,False
96.714,97.032,<silence>,False
97.032,97.38,と,False
97.38,97.68,か,False
97.68,97.684,<silence>,False
97.684,97.95,し,False
97.95,98.884,て,False
98.88,99.22,を,False
99.215,99.582,の,False
99.58,100.011,ば,False
100.01,100.699,し,False
100.699,100.7,<silence>,False
100.7,101.388,た,False
101.388,101.39,<silence>,False
101.39,101.819,も,False
101.819,102.152,い,False
102.15,102.611,よ,False
102.611,102.92,<silence>,False
102.92,103.29,と,False
103.29,103.442,く,False
103.44,103.65,て,False
103.65,104.331,も,False
104.33,104.75,と,False
104.75,104.89,ど,False
104.89,105.071,け,False
105.07,105.81,たい,True
105.81,106.2,わ,False
106.2,106.328,た,False
106.328,106.33,<silence>,False
106.33,106.517,し,False
106.517,106.52,<silence>,False
106.52,107.26,わ,False
107.257,107.623,う,False
107.62,108.21,け,False
