index,file,start,end,token
0,0,0,12100,<silence>
1,0,12100,12710,$breathing
2,0,12710,13063,か
3,0,13063,13280,<silence>
4,0,13280,13506,た
5,0,13506,13510,<silence>
6,0,13510,13630,ん
7,0,13630,13810,す
8,0,13810,13837,<silence>
9,0,13837,14180,ぎ
10,0,14180,14400,<silence>
11,0,14400,14785,た
12,0,14785,14790,<silence>
13,0,14790,14930,の
14,0,14930,14960,<silence>
15,0,14960,15360,か
16,0,15360,15532,な
17,0,15530,15660,び
18,0,15660,15845,ん
19,0,15845,15912,<silence>
20,0,15912,16320,が
21,0,16320,16435,る
22,0,16435,16440,<silence>
23,0,16440,16650,い
24,0,16650,16833,<silence>
25,0,16833,17150,わ
26,0,17150,17340,$breathing
27,0,17340,17730,せ
28,0,17730,17900,し
29,0,17900,17960,<silence>
30,0,17960,18340,だ
31,0,18335,18550,け
32,0,18550,18800,や
33,0,18800,19068,わ
34,0,19068,19070,<silence>
35,0,19070,19346,い
36,0,19346,19460,<silence>
37,0,19460,19795,か
38,0,19795,19840,<silence>
39,0,19840,20045,え
40,0,20045,20050,<silence>
41,0,20050,20170,ん
42,0,20170,20365,<silence>
43,0,20365,20570,め
44,0,20570,20770,い
45,0,20770,20830,<silence>
46,0,20830,20970,し
47,0,20970,21300,$breathing
48,0,21300,21520,$breathing
49,0,21520,21910,か
50,0,21905,22120,わ
51,0,22120,22354,い
52,0,22350,22470,ん
53,0,22470,22472,<silence>
54,0,22472,22839,わ
55,0,22839,22840,<silence>
56,0,22840,22998,え
57,0,22998,23000,<silence>
58,0,23000,23110,ん
59,0,23110,23410,$echo
60,0,23410,23634,え
61,0,23630,23770,ん
62,0,23770,23915,な
63,0,23915,23920,<silence>
64,0,23920,24340,み
65,0,24340,24568,の
66,0,24568,24570,<silence>
67,0,24570,24946,え
68,0,24946,24950,<silence>
69,0,24950,25069,ひ
70,0,25069,25070,<silence>
71,0,25070,25223,る
72,0,25220,25510,い
73,0,25506,25710,の
74,0,25708,25843,む
75,0,25840,26074,の
76,0,26070,26198,わ
77,0,26198,26200,<silence>
78,0,26200,26604,ちゅ
79,0,26600,26840,ど
80,0,26840,26948,く
81,0,26948,26950,<silence>
82,0,26950,27182,か
83,0,27180,27320,ん
84,0,27320,27577,じゃ
85,0,27577,27580,<silence>
86,0,27580,27710,ひ
87,0,27710,27851,ろ
88,0,27850,27986,い
89,0,27986,27990,<silence>
90,0,27990,28320,そ
91,0,28320,28435,ら
92,0,28435,28440,<silence>
93,0,28440,28710,な
94,0,28710,28820,の
95,0,28820,29059,に
96,0,29059,29060,<silence>
97,0,29060,29195,き
98,0,29195,29200,<silence>
99,0,29200,29610,みょ
100,0,29610,29612,<silence>
101,0,29612,29829,な
102,0,29829,29980,よ
103,0,29980,30192,か
104,0,30190,30350,ん
105,0,30350,30680,だ
106,0,30680,31053,そ
107,0,31050,31688,か
108,0,31688,31690,<silence>
109,0,31690,31820,ん
110,0,31820,32035,た
111,0,32035,32040,<silence>
112,0,32040,32201,ん
113,0,32200,32530,だ
114,0,32530,32560,<silence>
115,0,32560,32768,せ
116,0,32768,32770,<silence>
117,0,32770,32900,ん
118,0,32900,32940,<silence>
119,0,32940,33390,ちょ
120,0,33390,33600,を
121,0,33600,33743,き
122,0,33740,34080,め
123,0,34080,34084,<silence>
124,0,34084,34320,て
125,0,34320,34450,な
126,0,34448,34830,か
127,0,34830,35068,た
128,0,35068,35070,<silence>
129,0,35070,35210,ん
130,0,35210,35880,だ
