start,end,token,exclude
0.0,3.487,<silence>,False
3.487,7.839,はなればなれのへとそばかすの,True
17.601,21.105,vocalshakosbaelz,True
21.105,31.181,<silence>,False
31.181,31.248,き,False
31.248,31.315,き,False
31.315,31.382,き,False
31.382,31.448,き,False
31.448,31.515,き,False
31.515,31.582,き,False
31.582,31.648,き,False
31.648,31.715,ら,False
31.715,31.782,ら,False
31.782,31.849,ら,False
31.849,31.915,ら,False
31.915,31.982,ら,False
31.982,32.049,ら,False
32.049,32.116,ら,False
32.116,32.182,ら,False
32.182,32.249,ら,False
32.249,32.316,ら,False
32.316,32.383,ら,False
32.383,32.449,ら,False
32.449,32.516,ら,False
32.516,32.583,ら,False
32.583,32.649,ら,False
32.649,32.716,ら,False
32.716,32.783,ら,False
32.783,32.85,ら,False
32.85,32.916,ら,False
32.916,32.983,め,False
32.983,33.05,め,False
33.05,33.117,め,False
33.117,33.183,め,False
33.183,33.25,め,False
33.25,33.317,め,False
33.317,33.417,め,False
33.417,33.484,め,False
33.484,33.55,き,False
33.55,33.617,き,False
33.617,33.684,き,False
33.684,33.751,き,False
33.751,33.817,き,False
33.817,33.884,き,False
33.884,33.951,き,False
33.951,34.018,き,False
34.018,34.084,き,False
34.084,34.151,き,False
34.151,34.218,き,False
34.218,34.284,き,False
34.284,34.351,き,False
34.351,34.418,き,False
34.418,34.485,き,False
34.485,34.551,き,False
34.551,34.618,き,False
34.618,34.685,き,False
34.685,34.752,の,False
34.752,34.818,の,False
34.818,34.885,の,False
34.885,34.952,の,False
34.952,35.019,の,False
35.019,35.085,の,False
35.085,35.152,の,False
35.152,35.219,のは,True
35.219,35.285,は,False
35.285,35.352,は,False
35.352,35.419,は,False
35.419,35.486,は,False
35.486,35.552,は,False
35.552,35.619,は,False
35.619,35.686,は,False
35.686,35.753,は,False
35.753,35.819,は,False
35.819,35.886,は,False
35.886,35.953,は,False
35.953,36.02,は,False
36.02,36.086,は,False
36.086,36.153,は,False
36.153,36.22,は,False
36.22,36.286,は,False
36.286,36.353,は,False
36.353,36.42,は,False
36.42,36.487,は,False
36.487,36.553,は,False
36.553,36.62,は,False
36.62,36.887,は,False
36.887,36.954,な,False
36.954,37.021,な,False
37.021,37.087,な,False
37.087,37.154,な,False
37.154,37.221,な,False
37.221,37.287,な,False
37.287,37.388,な,False
37.388,37.454,な,False
37.454,37.521,な,False
37.521,37.588,な,False
37.588,37.654,な,False
37.654,37.721,な,False
37.721,37.788,な,False
37.788,37.855,な,False
37.855,37.921,な,False
37.921,37.988,な,False
37.988,38.055,な,False
38.055,38.122,な,False
38.122,38.188,な,False
38.188,38.255,な,False
38.255,38.322,ゆ,False
38.322,38.389,ゆ,False
38.389,38.455,ゆ,False
38.455,38.522,ゆ,False
38.522,38.589,ゆ,False
38.589,38.655,ゆ,False
38.655,38.722,ゆ,False
38.722,38.789,ゆめ,True
38.789,38.856,め,False
38.856,38.922,め,False
38.922,38.989,め,False
38.989,39.056,め,False
39.056,39.123,め,False
39.123,39.189,め,False
39.189,39.256,め,False
39.256,39.323,め,False
39.323,39.39,め,False
39.39,39.456,め,False
39.456,39.523,め,False
39.523,39.59,め,False
39.59,39.656,め,False
39.656,39.723,め,False
39.723,39.79,め,False
39.79,39.857,め,False
39.857,39.923,め,False
39.923,39.99,め,False
39.99,40.057,の,False
40.057,40.124,の,False
40.124,40.19,の,False
40.19,40.257,の,False
40.257,40.324,の,False
40.324,40.391,の,False
40.391,40.457,の,False
40.457,40.524,の,False
40.524,40.591,ほ,False
40.591,40.657,ほ,False
40.657,40.724,ほ,False
40.724,40.791,ほ,False
40.791,40.858,ほ,False
40.858,40.924,ほ,False
