start,end,token,exclude
0.0,0.918,<silence>,False
0.918,1.085,と,False
1.085,1.251,く,False
1.251,1.418,と,False
1.418,1.585,く,False
1.585,1.752,と,False
1.752,1.919,く,False
1.919,2.085,と,False
2.085,2.252,きょ,False
2.252,2.419,わ,False
2.419,2.586,び,False
2.586,2.753,さ,False
2.753,2.886,び,False
2.886,3.053,る,False
3.053,3.22,う,False
3.22,3.387,る,False
3.387,3.554,る,False
3.554,3.721,あ,False
3.721,3.938,ば,False
3.938,4.154,い,False
4.154,4.338,ね,False
4.338,4.521,む,False
4.521,4.788,れ,False
4.788,4.989,な,False
4.989,5.155,い,False
5.155,5.322,よ,False
5.322,5.489,る,False
5.489,5.656,に,False
5.656,5.823,は,False
5.823,6.09,ほ,False
6.09,6.323,お,False
6.323,6.556,る,False
6.556,6.79,ど,False
6.79,6.957,み,False
6.957,7.124,い,False
7.124,7.324,た,False
7.324,7.558,い,False
7.558,7.758,と,False
7.758,7.992,お,False
7.992,8.192,お,False
8.192,8.425,な,False
8.425,8.592,な,False
8.592,8.759,な,False
8.759,8.925,な,False
8.925,9.092,な,False
9.092,9.259,な,False
9.259,9.426,な,False
9.426,9.593,ね,False
9.593,9.727,ぇ,False
9.727,9.893,こ,False
9.893,10.06,と,False
10.06,10.227,し,False
10.227,10.394,の,False
10.394,10.727,な,False
10.727,11.061,つ,False
11.061,11.228,ま,False
11.228,11.395,た,False
11.395,11.562,あ,False
11.562,11.729,え,False
11.729,12.062,る,False
12.062,12.363,か,False
12.329,12.629,la,True
12.329,14.932,作詞：honeyworksmarumochi,True
12.329,22.106,tokyowabi-sabilullaby／がうる・ぐら,True
12.363,12.997,な,False
12.629,12.83,la,True
12.83,13.163,la,True
13.163,13.464,la,True
13.464,13.797,la,True
13.797,14.298,la,True
14.932,17.534,作曲：honeyworksmarumochi,True
17.534,20.137,編曲：honeyworksmarumochi,True
17.568,17.868,la,True
17.868,18.068,la,True
18.068,18.402,la,True
18.402,18.736,la,True
18.736,19.036,la,True
19.036,19.536,la,True
20.137,22.106,歌唱：がうる・ぐら,True
22.106,22.256,う,False
22.256,22.406,み,False
22.406,22.606,の,False
22.606,22.84,に,False
22.84,23.073,お,False
23.073,23.44,い,False
23.44,23.59,す,False
23.59,23.741,な,False
23.741,23.874,の,False
23.874,24.308,は,False
24.308,24.742,ま,False
24.742,24.908,す,False
24.908,25.042,い,False
25.042,25.209,か,False
25.209,25.376,わ,False
25.376,27.311,り,False
25.876,26.377,は,False
26.377,27.311,は,False
27.311,27.477,な,False
27.477,27.644,つ,False
27.644,27.845,か,False
27.845,28.012,し,False
28.012,28.679,い,False
28.679,28.846,ふ,False
28.846,29.013,る,False
29.013,29.18,さ,False
29.18,29.346,と,False
29.346,29.947,の,False
29.947,30.147,ちゃ,False
30.147,30.28,い,False
30.28,30.447,る,False
30.447,30.614,ど,False
30.614,30.856,ほ,False
30.856,31.098,お,False
31.098,31.34,ど,False
31.34,31.581,め,False
31.581,31.823,む,False
31.823,32.065,お,False
32.065,32.307,お,False
32.307,32.549,り,False
31.115,31.365,え,False
31.365,31.615,す,False
31.615,32.082,は,False
32.082,32.549,は,False
32.549,32.716,ゆ,False
32.716,32.883,う,False
32.883,33.05,な,False
33.05,33.217,ぎ,False
33.217,33.851,に,False
33.851,34.017,た,False
34.017,34.184,そ,False
34.184,34.334,が,False
34.334,34.485,れ,False
34.485,35.152,て,False
35.152,35.319,ふ,False
35.319,35.486,た,False
35.486,35.652,り,False
35.652,35.819,だ,False
35.819,37.788,け,False
36.32,36.82,は,False
36.82,37.788,は,False
37.788,37.955,ぬ,False
37.955,38.122,れ,False
38.122,38.288,が,False
38.288,38.455,み,False
38.455,39.089,を,False
39.089,39.256,か,False
39.256,39.39,き,False
39.39,39.59,あ,False
39.59,39.757,げ,False
39.757,40.057,て,False
40.057,40.391,わ,False
40.391,41.025,ら,False
41.025,42.659,た,False
41.325,41.525,ら,False
41.525,41.692,ら,False
41.692,41.859,ら,False
41.859,42.026,ら,False
42.026,42.659,ら,False
42.659,42.993,お,False
42.993,43.327,よ,False
43.327,43.627,ぎ,False
43.627,43.96,つ,False
43.96,44.294,か,False
44.294,44.762,れ,False
44.762,45.262,て,False
45.262,45.585,さ,False
45.585,45.907,ま,False
45.907,46.23,よ,False
46.23,46.563,っ,False
46.563,46.897,て,False
46.897,47.398,み,False
47.398,47.765,ど,False
47.765,48.132,な,False
48.132,48.499,い,False
48.499,48.866,と,False
48.866,49.116,ほ,False
49.116,49.366,し,False
49.366,49.683,さ,False
49.683,50.0,が,False
50.0,50.334,し,False
50.334,50.834,て,False
50.834,51.151,ひ,False
51.151,51.468,と,False
51.468,53.07,り,False
53.07,53.437,じ,False
53.437,53.77,ぶ,False
53.77,54.104,ん,False
54.104,54.405,で,False
54.405,54.739,え,False
54.739,55.072,ら,False
55.072,55.239,ん,False
55.239,55.706,だ,False
55.706,56.04,み,False
56.04,56.373,ち,False
56.373,56.707,の,False
56.707,57.007,と,False
57.007,57.424,ちゅ,False
57.424,57.841,う,False
57.841,59.309,で,False
59.309,59.476,け,False
59.476,59.643,ん,False
59.643,59.81,そ,False
59.81,59.977,う,False
59.977,60.277,で,False
60.277,60.611,ふ,False
60.611,60.944,り,False
60.944,61.195,か,False
61.195,61.445,え,False
61.445,61.945,る,False
61.945,62.079,き,False
62.079,62.212,み,False
62.212,62.379,の,False
62.379,62.63,か,False
62.63,62.88,げ,False
62.88,63.213,を,False
63.213,63.514,さ,False
63.514,63.814,が,False
63.814,64.048,し,False
64.048,64.448,た,False
64.448,66.116,<silence>,False
66.116,66.283,と,False
66.283,66.45,く,False
66.45,66.617,と,False
66.617,66.784,く,False
66.784,66.951,と,False
66.951,67.117,く,False
67.117,67.284,と,False
67.284,67.451,きょ,False
67.451,67.618,わ,False
67.618,67.785,び,False
67.785,67.951,さ,False
67.951,68.085,び,False
68.085,68.252,る,False
68.252,68.419,う,False
68.419,68.585,る,False
68.585,68.752,る,False
68.752,68.919,あ,False
68.919,69.153,ば,False
69.153,69.386,い,False
69.386,69.553,ね,False
69.553,69.72,む,False
69.72,70.02,れ,False
70.02,70.22,な,False
70.22,70.387,い,False
70.387,70.537,よ,False
70.537,70.687,る,False
70.687,70.854,に,False
70.854,71.055,は,False
71.055,71.205,ほ,False
71.205,71.355,お,False
71.355,71.522,る,False
71.522,71.756,ど,False
71.756,71.989,み,False
71.989,72.156,い,False
72.156,72.322,た,False
72.322,72.556,い,False
72.556,72.756,と,False
72.756,72.99,お,False
72.99,73.223,お,False
73.223,73.424,な,False
73.424,73.657,な,False
73.657,73.851,な,False
73.851,74.044,な,False
74.044,74.238,な,False
74.238,74.431,な,False
74.431,74.625,な,False
74.625,74.792,ね,False
74.792,74.958,ぇ,False
74.958,75.108,げ,False
75.108,75.259,ん,False
75.259,75.459,き,False
75.459,75.592,し,False
