start,end,token,exclude
0.0,2.186,<silence>,False
2.186,2.407,ち,False
2.453,2.603,へ,False
2.603,2.753,い,False
2.753,2.903,せ,False
2.903,3.053,ん,False
3.053,3.654,を,False
3.654,3.72,す,False
3.72,3.787,い,False
3.787,3.954,へ,False
3.954,4.121,い,False
4.121,4.255,せ,False
4.255,4.388,ん,False
4.388,4.588,に,False
4.588,4.722,し,False
4.722,4.822,た,False
4.822,5.356,ら,False
5.356,5.556,ら,False
5.556,5.788,し,False
5.788,6.02,い,False
6.023,6.21,ら,False
6.256,6.506,し,False
6.506,6.757,い,False
6.757,6.957,ら,False
6.957,7.091,し,False
7.091,7.224,い,False
7.224,7.458,し,False
7.458,8.359,し,False
8.359,8.87,わ,False
8.87,9.382,あ,False
9.382,9.893,あ,False
9.893,10.594,<silence>,False
10.594,10.694,お,False
10.694,10.794,お,False
10.794,10.905,い,False
10.905,11.017,え,False
11.017,11.128,い,False
11.128,11.295,し,False
11.295,11.462,ん,False
11.462,11.646,しょ,False
11.646,11.829,く,False
11.829,11.995,し,False
11.995,12.162,ん,False
12.162,12.346,しょ,False
12.346,12.529,く,False
12.529,12.696,し,False
12.696,12.863,ん,False
12.863,13.03,しょ,False
13.03,13.197,く,False
13.197,13.38,し,False
13.38,13.564,ん,False
13.564,13.73,しょ,False
13.73,13.897,く,False
13.897,14.031,は,False
14.031,14.098,ろ,False
14.098,14.164,う,False
14.164,14.598,で,False
14.598,14.67,み,False
14.67,14.742,ん,False
14.765,14.865,な,False
14.865,15.265,に,False
15.265,15.453,は,False
15.499,15.833,ろ,False
15.833,16.0,お,False
16.0,16.233,は,False
16.233,16.467,ろ,False
16.467,16.7,お,False
16.7,16.883,し,False
16.883,17.067,ん,False
17.067,17.234,しょ,False
17.234,17.401,く,False
17.401,17.568,し,False
17.568,17.735,ん,False
17.735,17.919,しょ,False
17.919,18.102,く,False
18.102,18.268,し,False
18.268,18.435,ん,False
18.435,18.618,しょ,False
18.618,18.802,く,False
18.802,18.969,し,False
18.969,19.136,ん,False
19.136,19.336,しょ,False
19.336,19.536,く,False
19.536,19.62,し,False
19.62,19.703,ん,False
19.703,19.953,す,False
19.953,20.204,い,False
20.204,20.288,し,False
20.288,20.371,ん,False
20.371,20.571,か,False
20.571,20.871,い,False
20.871,21.038,す,False
21.038,21.205,い,False
21.205,21.327,ん,False
21.327,21.45,あ,False
21.45,21.572,ん,False
21.572,21.705,ど,False
21.705,21.839,す,False
21.839,21.972,い,False
21.972,22.106,い,False
22.106,22.239,と,False
22.239,22.611,ふ,False
22.639,25.402,ふ,False
25.442,25.53,と,False
25.576,25.709,み,False
25.709,25.843,い,False
25.843,25.943,め,False
25.943,26.043,い,False
26.043,26.243,よ,False
26.243,26.36,せ,False
26.36,26.477,い,False
26.477,26.543,そ,False
26.543,26.677,の,False
26.677,26.777,しょ,False
26.777,26.877,う,False
26.877,26.944,ご,False
26.944,27.011,う,False
27.011,27.094,よ,False
27.094,27.177,ん,False
27.177,27.244,に,False
27.244,27.311,ん,False
27.311,27.444,で,False
27.444,27.644,か,False
27.644,27.778,さ,False
27.778,27.978,ら,False
27.978,28.089,ちゃ,False
28.112,28.212,た,False
28.212,28.645,ろ,False
28.645,29.013,さ,False
29.013,29.413,さ,False
29.413,29.847,さ,False
29.847,30.214,さ,False
30.214,30.614,さ,False
30.614,31.015,さ,False
31.015,31.415,さ,False
31.415,31.882,あ,False
31.882,32.082,ち,False
32.082,32.266,きゅ,False
32.266,32.449,う,False
32.449,32.683,を,False
32.683,32.867,し,False
32.867,33.05,ん,False
33.05,33.217,りゃ,False
33.217,33.417,く,False
33.417,33.617,た,False
33.617,33.771,こ,False
33.817,34.049,だ,False
34.051,34.228,ち,False
34.251,34.468,きゅ,False
34.468,34.685,う,False
34.685,34.852,ぞ,False
34.852,35.019,う,False
35.019,35.219,い,False
35.219,35.419,な,False
35.419,35.652,い,False
